"","statecode","countycode","v124_rawvalue"
"1047","21","053",0
"1048","21","055",0
"1049","21","057",0
"1050","21","059",0
"1051","21","061",1
"1052","21","063",0
"1053","21","065",0
"1054","21","067",0
"1055","21","069",0
"1056","21","071",1
"1057","21","073",0
"1058","21","075",0
"1059","21","077",0
"1060","21","079",0
"1061","21","081",0
"1062","21","083",0
"1063","21","085",0
"1064","21","087",0
"1065","21","089",1
"1066","21","091",0
"1067","21","093",0
"1068","21","095",1
"1069","21","097",1
"1070","21","099",0
"1071","21","101",0
"1072","21","103",0
"1073","21","105",0
"1074","21","107",1
"1075","21","109",0
"1076","21","111",0
"1077","21","113",1
"1078","21","115",0
"1079","21","117",0
"1080","21","000",NA
"1081","21","119",0
"1082","21","121",0
"1083","21","123",0
"1084","21","125",1
"1085","21","127",0
"1086","21","129",0
"1087","21","131",0
"1088","21","133",1
"1089","21","135",0
"1090","21","137",1
"1091","21","139",1
"1092","21","141",1
"1093","21","143",1
"1094","21","151",1
"1095","21","153",1
"1096","21","155",0
"1097","21","157",0
"1098","21","159",0
"1099","21","161",0
"1100","21","145",0
"1101","21","147",0
"1102","21","149",0
"1103","21","163",0
"1104","21","165",1
"1105","21","167",0
"1106","21","169",0
"1107","21","171",0
"1108","21","173",0
"1109","21","175",0
"1110","21","177",1
"1111","21","179",0
"1112","21","181",0
"1113","21","183",1
"1114","21","185",0
"1115","21","187",0
"1116","21","189",0
"1117","21","191",0
"1118","21","193",0
"1119","21","195",1
"1120","21","197",0
"1121","21","199",0
"1122","21","201",0
"1123","21","203",0
"1124","21","205",0
"1125","21","207",0
"1126","21","209",0
"1127","21","211",0
"1128","21","213",0
"1129","21","215",0
"1130","21","217",0
"1131","21","219",1
"1132","21","221",0
"1133","21","223",0
"1134","21","225",1
"1135","21","227",0
"1136","21","229",0
"1137","21","231",0
"1138","21","233",1
"1139","21","235",1
"1140","21","237",0
"1141","21","239",1
"1142","22","001",1
"1143","22","003",1
"1144","22","005",1
"1145","22","007",0
"1146","22","009",1
"1147","22","011",1
"1148","22","013",1
"1149","22","015",1
"1150","22","017",1
"1151","22","019",1
"1152","22","021",1
"1153","22","023",1
"1154","22","025",1
"1155","22","027",1
"1156","22","029",1
"1157","22","031",1
"1158","22","033",0
"1159","22","035",1
"1160","22","037",1
"1161","22","039",1
"1162","22","041",1
"1163","22","043",1
"1164","22","045",1
"1165","22","047",1
"1166","22","049",1
"1167","22","051",1
"1168","22","053",1
"1169","22","055",1
"1170","22","057",0
"1171","22","059",1
"1172","22","061",1
"1173","22","063",1
"1174","22","000",NA
"1175","22","065",1
"1176","22","067",1
"1177","22","069",1
"1178","22","071",0
"1179","22","073",1
"1180","22","075",1
"1181","22","077",1
"1182","22","079",1
"1183","22","081",1
"1184","22","083",1
"1185","22","085",1
"1186","22","087",0
"1187","22","089",0
"1188","22","091",0
"1189","22","093",1
"1190","22","095",0
"1191","22","097",1
"1192","22","099",1
"1193","22","101",1
"1194","22","103",1
"1195","22","105",1
"1196","22","107",1
"1197","22","109",0
"1198","22","111",1
"1199","22","113",1
"1200","22","115",1
"1201","22","117",1
"1202","22","119",1
"1203","22","121",1
"1204","22","123",1
"1205","22","125",1
"1206","22","127",1
"1207","25","001",1
"1208","25","003",0
"1209","25","005",0
"1210","25","007",0
"1211","25","009",1
"1212","25","011",0
"1213","25","013",1
"1214","25","015",1
"1215","25","000",NA
"1216","25","017",0
"1217","25","019",0
"1218","25","021",1
"1219","25","023",1
"1220","25","025",0
"1221","25","027",1
"1222","24","001",1
"1223","24","003",1
"1224","24","005",1
"1225","24","510",1
"1226","24","009",1
"1227","24","011",1
"1228","24","013",1
"1229","24","015",1
"1230","24","017",1
"1231","24","019",1
"1232","24","021",1
"1233","24","023",1
"1234","24","025",1
"1235","24","027",1
"1236","24","029",1
"1237","24","000",NA
"1238","24","031",0
"1239","24","033",1
"1240","24","035",1
"1241","24","039",1
"1242","24","037",1
"1243","24","041",1
"1244","24","043",1
"1245","24","045",1
"1246","24","047",1
"1247","23","001",1
"1248","23","003",1
"1249","23","005",1
"1250","23","007",1
"1251","23","009",1
"1252","23","011",0
"1253","23","013",1
"1254","23","015",1
"1255","23","000",NA
"1256","23","017",1
"1257","23","019",1
"1258","23","021",1
"1259","23","023",0
"1260","23","025",0
"1261","23","027",1
"1262","23","029",1
"1263","23","031",1
"1264","26","001",0
"1265","26","003",1
"1266","26","005",1
"1267","26","007",0
"1268","26","009",1
"1269","26","011",0
"1270","26","013",0
"1271","26","015",1
"1272","26","017",1
"1273","26","019",0
"1274","26","021",1
"1275","26","023",1
"1276","26","025",1
"1277","26","027",1
"1278","26","029",0
"1279","26","031",0
"1280","26","033",1
"1281","26","035",0
"1282","26","037",1
"1283","26","039",0
"1284","26","041",0
"1285","26","043",0
"1286","26","045",1
"1287","26","047",1
"1288","26","049",1
"1289","26","051",1
"1290","26","053",1
"1291","26","055",0
"1292","26","057",0
"1293","26","059",1
"1294","26","061",1
"1295","26","063",1
"1296","26","065",1
"1297","26","067",1
"1298","26","069",1
"1299","26","071",0
"1300","26","073",1
"1301","26","075",1
"1302","26","077",1
"1303","26","079",0
"1304","26","081",1
"1305","26","083",1
"1306","26","085",0
"1307","26","087",0
"1308","26","089",0
"1309","26","091",1
"1310","26","093",1
"1311","26","095",0
"1312","26","097",1
"1313","26","099",1
"1314","26","101",0
"1315","26","103",1
"1316","26","105",0
"1317","26","107",1
"1318","26","109",0
"1319","26","000",NA
"1320","26","111",0
"1321","26","113",1
"1322","26","115",0
"1323","26","117",1
"1324","26","119",0
"1325","26","121",1
"1326","26","123",1
"1327","26","125",1
"1328","26","127",1
"1329","26","129",0
"1330","26","131",0
"1331","26","133",0
"1332","26","135",0
"1333","26","137",0
"1334","26","139",1
"1335","26","141",0
"1336","26","143",0
"1337","26","145",1
"1338","26","151",1
"1339","26","153",0
"1340","26","155",1
"1341","26","147",1
"1342","26","149",0
"1343","26","157",0
"1344","26","159",1
"1345","26","161",1
"1346","26","163",1
"1347","26","165",1
"1348","27","001",1
"1349","27","003",0
"1350","27","005",1
"1351","27","007",1
"1352","27","009",0
"1353","27","011",0
"1354","27","013",1
"1355","27","015",0
"1356","27","017",0
"1357","27","019",0
"1358","27","021",0
"1359","27","023",0
"1360","27","025",0
"1361","27","027",1
"1362","27","029",0
"1363","27","031",0
"1364","27","033",0
"1365","27","035",1
"1366","27","037",1
"1367","27","039",0
"1368","27","041",1
"1369","27","043",0
"1370","27","045",0
"1371","27","047",1
"1372","27","049",0
"1373","27","051",0
"1374","27","053",0
"1375","27","055",0
"1376","27","057",0
"1377","27","059",0
"1378","27","061",0
"1379","27","063",0
"1380","27","065",0
