"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"21","073",129134,29693,4.34897113797865,3.81822033815186,4.87972193780543
"21","075",75000,15214,4.92967004075194,3.43742868310507,6.42191139839881
"21","077",116750,29825,3.91450125733445,2.96048559497981,4.8685169196891
"21","079",117146,25780,4.54406516679597,4.00291923538236,5.08521109820957
"21","081",127791,29343,4.35507616808097,3.6613219346344,5.04883040152754
"21","083",105455,21635,4.87427779061706,4.02584182414308,5.72271375709103
"21","085",108276,19245,5.62618862042089,4.73064623919923,6.52173100164254
"21","087",104157,18224,5.71537532923617,4.55900555034836,6.87174510812398
"21","089",113703,25639,4.43476734662038,3.92983792412858,4.93969676911219
"21","091",116533,24825,4.69417925478348,3.3143025083031,6.07405600126387
"21","093",132868,31459,4.22352903779523,3.85461400691294,4.59244406867751
"21","095",84445,16002,5.27715285589301,4.19118691126645,6.36311880051958
"21","097",125173,24748,5.05790366898335,3.96036130611586,6.15544603185085
"21","099",102706,20555,4.99664315251764,4.1894158564658,5.80387044856947
"21","101",116045,25917,4.47756298954354,3.8861695100304,5.06895646905669
"21","103",125849,26353,4.77550942966645,3.82973272741336,5.72128613191954
"21","105",99750,23135,4.31164901664145,1.56494573496747,7.05835229831543
"21","107",108145,21781,4.96510720352601,4.16743760777738,5.76277679927464
"21","109",90214,16004,5.63696575856036,3.66526280099176,7.60866871612896
"21","111",138308,29342,4.71365278440461,4.51419352647747,4.91311204233175
"21","113",145211,33656,4.31456501069646,3.94604163048008,4.68308839091284
"21","115",93411,17148,5.44734079776067,4.15052028681801,6.74416130870333
"21","117",153924,35494,4.3366202738491,4.01053051842004,4.66271002927816
"21","119",99500,16864,5.90014231499051,4.57976621767183,7.2205184123092
"21","121",77831,11843,6.57189901207464,5.83433374356346,7.30946428058583
"21","123",120048,25355,4.73468743837507,3.59693917970669,5.87243569704345
"21","125",110536,20213,5.46855983772819,4.68731990169272,6.24979977376367
"21","127",102422,18944,5.40656672297297,3.59040645084838,7.22272699509757
"21","129",83173,14508,5.73290598290598,4.49499173814188,6.97082022767008
"21","131",88313,14541,6.07337872223368,2.81138661620201,9.33537082826536
"21","133",84808,16518,5.13427775759777,3.87219460542584,6.39636090976971
"21","135",98202,19086,5.14523734674631,4.12825475464401,6.16221993884861
"21","137",108344,21642,5.00619166435634,4.11230403515871,5.90007929355398
"21","139",118260,27560,4.29100145137881,3.10954066580073,5.47246223695689
"21","141",108061,23376,4.62273271731691,3.78577162814874,5.45969380648508
"21","143",125550,25582,4.9077476350559,3.42109328781997,6.39440198229183
"21","145",134077,25636,5.23002808550476,4.6416825940764,5.81837357693312
"21","147",72405,11482,6.30595715032224,5.35165767686006,7.26025662378443
"21","149",136197,26808,5.08046105640107,3.91006595142361,6.25085616137854
"21","151",125108,27966,4.47357505542444,3.97983417138287,4.96731593946602
"21","153",76872,11649,6.59902137522534,5.45571032908224,7.74233242136845
"21","155",105562,22343,4.72461173521908,3.3325197827848,6.11670368765337
"21","157",124107,28842,4.30299563137092,3.56775029462422,5.03824096811761
"21","159",105204,14169,7.424941774296,3.70865472511861,11.1412288234734
"21","161",111865,17745,6.3040293040293,5.05235850667159,7.55570010138702
"21","163",142872,34572,4.13259284970496,3.5511340112425,4.71405168816743
"21","165",89982,15769,5.70625911598706,3.75549620135034,7.65702203062379
"21","167",123231,32325,3.8122505800464,3.04838060145053,4.57612055864227
"21","169",105595,20655,5.1123214717986,4.01625859333684,6.20838435026036
"21","171",96467,19320,4.99311594202899,3.66142333791794,6.32480854614003
"21","173",112364,23910,4.69945629443747,3.71782351779673,5.68108907107822
"21","175",99067,21159,4.68202656080155,3.4522967083539,5.9117564132492
"21","177",106545,21671,4.91647824281298,4.09986028444901,5.73309620117695
"21","179",126430,30931,4.08748504736349,3.63093889585205,4.54403119887493
"21","181",105918,20906,5.06639242322778,2.13258592439226,8.0001989220633
"21","183",107992,27072,3.98906619385343,3.39813190887942,4.58000047882743
"21","185",218924,54583,4.01084586776102,3.58829083838248,4.43340089713957
"21","187",109807,25578,4.29302525607944,3.47803968941904,5.10801082273984
"21","189",58328,10191,5.72348150328721,3.6076121686252,7.83935083794923
"21","191",128668,21700,5.92940092165899,4.30797748560591,7.55082435771206
"21","193",98651,16957,5.81771539777083,4.59136596372794,7.04406483181372
"21","195",95090,14894,6.38445011413992,5.37732600874431,7.39157421953553
"21","197",103281,15290,6.75480706344016,5.15375562632813,8.35585850055219
"21","199",104310,21108,4.94172825469017,4.2261616767862,5.65729483259413
"21","201",106500,18690,5.69823434991974,2.16622649750778,9.2302422023317
"21","203",96520,17508,5.51290838473841,4.57770366009596,6.44811310938085
"21","205",111638,17840,6.25773542600897,4.51924347455187,7.99622737746607
"21","207",101125,18039,5.60590941848218,4.19526949979171,7.01654933717265
"21","209",153353,41138,3.72776994506296,3.42036143747459,4.03517845265133
"21","211",144727,36237,3.99390126114193,3.27369165171204,4.71411087057182
"21","213",113908,22308,5.10615025999641,3.48454944365626,6.72775107633657
"21","215",170910,45132,3.78689178409997,2.84290381141184,4.73087975678811
"21","217",105514,23342,4.52034958444006,3.56410935785549,5.47658981102464
"21","219",125535,21943,5.72095884792417,4.21693124452768,7.22498645132065
"21","221",114618,23654,4.84560750824385,3.65694448742199,6.03427052906571
"21","223",122553,28015,4.37454934856327,2.96862518637705,5.78047351074949
"21","225",107654,21680,4.96559040590406,3.7079598964758,6.22322091533232
"21","227",124920,27332,4.57046685204156,4.03470948593944,5.10622421814369
"21","229",106304,22129,4.80383207555696,3.27482898296051,6.33283516815341
"21","231",91127,16160,5.63904702970297,4.84658034193139,6.43151371747455
"21","233",104115,23059,4.5151567717594,3.65824409575648,5.37206944776232
"21","235",97387,16092,6.05188913745961,4.7070802926133,7.39669798230591
"21","237",68522,12478,5.49142490783779,3.12924291509643,7.85360690057916
"21","239",157759,35137,4.48982554002903,3.93590549168866,5.0437455883694
"22","000",129381,22598,5.7253296751925,5.62817182226123,5.82248752812376
"22","001",103351,15567,6.63910837027044,5.68659182936873,7.59162491117216
"22","003",98520,18967,5.19428481046027,3.36906426381688,7.01950535710367
"22","005",174402,38493,4.53074584989479,3.9412724716914,5.12021922809817
"22","007",117533,21041,5.58590371180077,4.36888202400009,6.80292539960145
"22","009",95718,16266,5.88454444854297,4.71081457431649,7.05827432276946
"22","011",140267,28154,4.98213397740996,4.35502638765152,5.6092415671684
"22","013",80836,15373,5.25831002406817,4.47914189855584,6.0374781495805
"22","015",135721,29798,4.55470165782938,4.12936625526719,4.98003706039158
"22","017",109581,18930,5.78874801901743,5.3659063209197,6.21158971711517
"22","019",136250,25621,5.3179032824636,4.85524815849876,5.78055840642845
"22","021",114500,17049,6.71593641855827,3.75554113997114,9.67633169714541
"22","023",139278,37558,3.7083444272858,1.99745206567116,5.41923678890044
"22","025",97524,22256,4.38191948238677,3.1139414100339,5.64989755473965
"22","027",70380,12415,5.66894885219493,4.53165357559783,6.80624412879203
"22","029",91435,16447,5.55937252994467,4.60677887014236,6.51196618974699
"22","031",123559,20139,6.13530959829187,4.21999790114301,8.05062129544073
"22","033",140885,23404,6.01969748760896,5.55390970396781,6.4854852712501
"22","035",85792,12260,6.99771615008157,4.39965575292127,9.59577654724186
"22","037",146112,25755,5.67315084449621,4.27216701094794,7.07413467804449
"22","039",98890,17579,5.62546219921497,4.95106499831268,6.29985940011727
"22","041",100380,22128,4.53633405639913,3.57425707883855,5.49841103395971
"22","043",125182,22160,5.64900722021661,4.26782023881929,7.03019420161392
"22","045",115146,20320,5.66663385826772,5.01037180095975,6.32289591557568
"22","047",126204,20780,6.07333974975938,4.54049767309815,7.60618182642062
"22","049",94806,20747,4.56962452402757,3.71562578288171,5.42362326517343
"22","051",133260,26038,5.11790460096782,4.86615674169604,5.36965246023959
"22","053",124189,22493,5.5212288267461,4.65316670206422,6.38929095142797
"22","055",140042,25275,5.54073194856578,5.06188161217903,6.01958228495252
"22","057",132480,24271,5.4583659511351,4.85079481385863,6.06593708841157
"22","059",131385,23065,5.69629308476046,3.84310212961065,7.54948403991027
"22","061",107918,13015,8.29181713407607,6.99107212158754,9.59256214656459
"22","063",142042,32803,4.33015272993324,3.81192019282439,4.84838526704208
"22","065",80462,12977,6.20035447329891,4.28192379865402,8.1187851479438
"22","067",96043,16416,5.85057261208577,4.96433155185855,6.73681367231299
"22","069",115824,14699,7.87971970882373,6.89324206495409,8.86619735269337
"22","071",131303,17860,7.35179171332587,6.86802126118526,7.83556216546647
"22","073",120775,18239,6.62179944075881,6.08939679467264,7.15420208684498
"22","075",157359,32290,4.87330442861567,3.83920952730887,5.90739932992247
"22","077",141518,24610,5.75042665583096,4.01974229381503,7.4811110178469
"22","079",121292,21616,5.61121391561806,5.08288180706025,6.13954602417587
"22","081",112634,17711,6.35955056179775,4.07201319624803,8.64708792734747
"22","083",116056,19186,6.04899405816741,4.42307010050279,7.67491801583204
"22","085",106531,17073,6.2397352544954,5.33390503469688,7.14556547429392
"22","087",116127,22224,5.2252969762419,4.44202241863085,6.00857153385296
"22","089",157185,31707,4.95742265114959,4.14232684835072,5.77251845394846
"22","091",82343,12309,6.68965797384028,5.31355576891525,8.06576017876531
"22","093",150429,27386,5.49291608851238,4.68598018126047,6.29985199576429
"22","095",118839,27352,4.34480111143609,3.30409546224106,5.38550676063113
"22","097",98367,15538,6.3307375466598,5.57069031425187,7.09078477906773
"22","099",118352,22532,5.25261849813598,4.54803062459472,5.95720637167724
"22","101",106842,20221,5.28371494980466,4.63228773970019,5.93514215990912
"22","103",158831,35015,4.5360845351992,4.21165580701993,4.86051326337847
"22","105",121956,22549,5.40848818129407,4.84579744237948,5.97117892020866
"22","107",72667,13362,5.43833258494237,4.56800207249791,6.30866309738684
"22","109",122977,25770,4.7720993403182,4.15737134985204,5.38682733078436
"22","111",100663,16318,6.16883196470156,4.87667724944737,7.46098667995574
"22","113",118872,22374,5.31295253419147,4.6926328472498,5.93327222113315
"22","115",115500,25428,4.54223690420009,4.10983151366212,4.97464229473807
"22","117",97819,17260,5.66738122827346,4.62638906833647,6.70837338821046
"22","119",88393,18088,4.88683104820876,4.24485926714636,5.52880282927115
"22","121",139006,35532,3.91213553979511,3.21253661877036,4.61173446081987
"22","123",106011,21418,4.94962181342796,3.60237109369071,6.29687253316521
"22","125",154111,33762,4.56462887269712,3.54182507240969,5.58743267298454
"22","127",110982,18333,6.05367370315824,2.75812327608323,9.34922413023325
"23","000",144261,31869,4.52668737644733,4.422095046685,4.63127970620967
"23","001",129791,29398,4.41496020137424,4.08682636921078,4.7430940335377
"23","003",111386,23527,4.73439027500319,4.38466804418866,5.08411250581772
"23","005",182113,41443,4.39430060565113,4.1366280416666,4.65197316963567
"23","007",116729,25433,4.5896669681123,3.94968380301673,5.22965013320786
"23","009",137788,30706,4.48733146616297,4.07450451139004,4.9001584209359
"23","011",129459,30686,4.21882943361794,3.95361272819245,4.48404613904342
"23","013",146309,34412,4.25168545856097,3.76001077909475,4.74336013802718
"23","015",139269,33044,4.21465318968648,3.75425082357856,4.67505555579439
"23","017",120715,25325,4.76663376110563,4.26922142955981,5.26404609265144
"23","019",132678,27667,4.79553258394477,4.46374006100465,5.12732510688489
"23","021",112545,25109,4.48225735791947,3.49506070768859,5.46945400815035
"23","023",153064,35415,4.32201044755047,3.52792945602701,5.11609143907394
"23","025",109176,25993,4.20020774823991,3.77947999900296,4.62093549747686
