statecode,countycode,v037_race_white,v037_race_black,v037_race_aian,v037_race_asian,v037_race_nhopi,v037_race_tom,v037_race_hispanic,v037_race_,v037_race_white_cilow,v037_race_black_cilow,v037_race_aian_cilow,v037_race_asian_cilow,v037_race_nhopi_cilow,v037_race_tom_cilow,v037_race_hispanic_cilow,v037_race__cilow,v037_race_white_cihigh,v037_race_black_cihigh,v037_race_aian_cihigh,v037_race_asian_cihigh,v037_race_nhopi_cihigh,v037_race_tom_cihigh,v037_race_hispanic_cihigh,v037_race__cihigh
01,039,0.08067226890756303,0.20095693779904306,NA,NA,NA,NA,NA,NA,0.06973107011307748,0.16254161161482386,NA,NA,NA,NA,NA,NA,0.09161346770204858,0.23937226398326225,NA,NA,NA,NA,NA,NA
01,041,0.06675567423230974,0.18118466898954705,NA,NA,NA,NA,NA,NA,0.04888022623987735,0.13662224266139608,NA,NA,NA,NA,NA,NA,0.08463112222474213,0.22574709531769802,NA,NA,NA,NA,NA,NA
01,043,0.08486312399355878,NA,NA,NA,NA,NA,0.06319702602230483,NA,0.07793185415188475,NA,NA,NA,NA,NA,0.042636350250491936,NA,0.0917943938352328,NA,NA,NA,NA,NA,0.08375770179411772,NA
01,045,0.07216494845360824,0.14115490375802017,NA,NA,NA,0.08823529411764706,0.08775981524249422,NA,0.06276321104094477,0.12049401015011303,NA,NA,NA,0.04056485259128251,0.06110874996946315,NA,0.08156668586627171,0.1618157973659273,NA,NA,NA,0.13590573564401162,0.1144108805155253,NA
01,047,0.08139534883720931,0.15331010452961671,NA,NA,NA,NA,NA,NA,0.05955186326198489,0.13857281187725032,NA,NA,NA,NA,NA,NA,0.10323883441243373,0.1680473971819831,NA,NA,NA,NA,NA,NA
01,049,0.08925869894099848,NA,NA,NA,NA,NA,0.07270560190703218,NA,0.08038504458114991,NA,NA,NA,NA,NA,0.06028184776843743,NA,0.09813235330084706,NA,NA,NA,NA,NA,0.08512935604562694,NA
01,051,0.07245401525347689,0.15808297567954221,NA,NA,NA,0.09027777777777778,0.09166666666666666,NA,0.0648440093574561,0.13895893395744832,NA,NA,NA,0.043469823897397966,0.06185864409091463,NA,0.08006402114949768,0.1772070174016361,NA,NA,NA,0.13708573165815757,0.12147468924241869,NA
01,053,0.0714687675858188,0.14316012725344646,0.12280701754385964,NA,NA,NA,NA,NA,0.059491196356683464,0.1208058261253625,0.06255621831846901,NA,NA,NA,NA,NA,0.08344633881495414,0.1655144283815304,0.18305781676925026,NA,NA,NA,NA,NA
01,055,0.07692307692307693,0.14213197969543148,NA,0.2033898305084746,NA,NA,0.0552546045503792,NA,0.07001741476667604,0.12370177833815293,NA,0.10067867717784916,NA,NA,0.04051462604090403,NA,0.08382873907947781,0.16056218105271003,NA,0.3061009838391,NA,NA,0.06999458305985437,NA
01,057,0.07795957651588066,0.24647887323943662,NA,NA,NA,NA,NA,NA,0.06165693367907282,0.17559466939907145,NA,NA,NA,NA,NA,NA,0.0942622193526885,0.3173630770798018,NA,NA,NA,NA,NA,NA
01,059,0.0970873786407767,0.20689655172413793,NA,NA,NA,NA,0.06920077972709551,NA,0.0836099991875531,0.10264473787672704,NA,NA,NA,NA,0.053670978739215273,NA,0.11056475809400029,0.3111483655715488,NA,NA,NA,NA,0.08473058071497576,NA
01,061,0.08080194410692589,0.19883040935672514,NA,NA,NA,NA,NA,NA,0.0676358604719044,0.13900831026655086,NA,NA,NA,NA,NA,NA,0.09396802774194737,0.2586525084468994,NA,NA,NA,NA,NA,NA
01,063,NA,0.20809248554913296,NA,NA,NA,NA,NA,NA,NA,0.1731673722821824,NA,NA,NA,NA,NA,NA,NA,0.2430175988160835,NA,NA,NA,NA,NA,NA
01,065,0.07575757575757576,0.17100371747211895,NA,NA,NA,NA,NA,NA,0.05318687233407355,0.14502615658812126,NA,NA,NA,NA,NA,NA,0.09832827918107798,0.19698127835611665,NA,NA,NA,NA,NA,NA
01,067,0.09079754601226994,0.2292358803986711,NA,NA,NA,NA,NA,NA,0.0710712919578704,0.18174886596920625,NA,NA,NA,NA,NA,NA,0.11052380006666948,0.27672289482813595,NA,NA,NA,NA,NA,NA
01,069,0.07847800237812129,0.16787630167245188,NA,0.06622516556291391,NA,0.07303370786516854,0.06554621848739496,NA,0.07105791069483497,0.15486311698100225,NA,0.026560827886159447,NA,0.03480939244385158,0.04566008629400793,NA,0.08589809406140761,0.1808894863639015,NA,0.10588950323966838,NA,0.11125802328648549,0.08543235068078199,NA
01,071,0.08621190130624093,0.17592592592592593,NA,NA,NA,NA,0.0759493670886076,NA,0.07683913435869034,0.10411471635777204,NA,NA,NA,NA,0.04222126821620334,NA,0.09558466825379151,0.24773713549407983,NA,NA,NA,NA,0.10967746596101186,NA
01,073,0.07635309278350516,0.16291541742325072,NA,0.08583690987124463,NA,0.09940828402366864,0.0777409796060659,NA,0.07305003228345058,0.1582119101840008,NA,0.06975113496414351,NA,0.07923377476680182,0.07081206663279895,NA,0.07965615328355974,0.16761892466250064,NA,0.10192268477834576,NA,0.11958279328053545,0.08466989257933284,NA
01,075,0.08695652173913043,0.14678899082568808,NA,NA,NA,NA,NA,NA,0.0689720769819539,0.08035080116928756,NA,NA,NA,NA,NA,NA,0.10494096649630696,0.2132271804820886,NA,NA,NA,NA,NA,NA
