"statecode","countycode","v014_race_white","v014_race_white_cilow","v014_race_white_cihigh","v014_race_black","v014_race_black_cilow","v014_race_black_cihigh","v014_race_asian","v014_race_asian_cilow","v014_race_asian_cihigh","v014_race_aian","v014_race_aian_cilow","v014_race_aian_cihigh","v014_race_nhopi","v014_race_nhopi_cilow","v014_race_nhopi_cihigh","v014_race_tom","v014_race_tom_cilow","v014_race_tom_cihigh","v014_race_hispanic","v014_race_hispanic_cilow","v014_race_hispanic_cihigh"
"10","000",6.95347443168719,6.45714244982188,7.44980641355249,20.2348500733906,19.06937823886,21.4003219079213,1.22534003185884,0.587598173769444,2.25344394584215,NA,NA,NA,NA,NA,NA,18.2597354201602,15.7033724613378,20.8160983789827,29.6928127564779,27.8642802375914,31.5213452753644
"08","051",2.69541778975741,1.2925576000357,4.95696928356274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6975425330813,24.5734045067603,60.6819106520669
"48","483",18.8679245283019,9.04790320024988,34.6987849849392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4132762312634,10.2684982786562,39.379777391901
"13","159",14.648858250754,10.1447601829264,20.4703111138316,16.6389351081531,7.97901613333184,30.5995940798965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7154471544715,22.3217901107189,80.0082866394389
"48","373",40.7518004567012,35.5078463771322,45.9957545362702,30.1129234629862,19.29391826184,44.8056431540191,NA,NA,NA,43.1034482758621,20.6697788626398,79.2687760431801,NA,NA,NA,NA,NA,NA,33.201189296333,25.7304656715563,42.1643367828525
"26","055",8.05221740987007,6.67854050055334,9.42589431918679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4942528735632,5.51194103003728,21.1383402781814
"48","215",6.30596544330937,4.68040909792683,8.31362929301763,10.2249488752556,4.90326042549329,18.804045032738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0186279995148,32.3141464858134,33.7231095132163
"49","057",8.77231944567825,7.9072081915224,9.63743069983409,13.0039011703511,6.2358760677925,23.9146372457969,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6176053005206,10.7504408768243,21.9329244056646,25.2420046562921,22.8045794060065,27.6794299065777
"24","039",20.7910750507099,14.9200344160524,28.205440956255,14.3721633888048,10.8853361984177,18.6208046906109,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2176870748299,23.5440560918497,75.6135915583635,20.6611570247934,9.90782788457115,37.9966033925987
"51","007",10.5146651909242,6.33051530955547,16.4199521702189,21.978021978022,10.5393158156757,40.4183649275116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","005",25.2412769116555,17.4803180286357,35.2721544879013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6532951289398,13.7403687568265,52.6944299198217
"48","273",17.5706646294882,11.138294145947,26.3646240602239,31.7460317460317,15.2234561781982,58.3820826730723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.864526033005,23.2310223330522,30.4980297329578
"01","117",6.06307775965198,5.26729087370273,6.85886464560124,10.9444171175603,8.78926563481932,13.4680470233345,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67302688638335,4.15905350922154,15.9500052402583,28.6876907426246,23.9524495441314,33.4229319411179
"19","153",8.64442770052743,7.96993440354332,9.31892099751155,32.5635327084742,29.0867893408692,36.0402760760793,7.69230769230769,5.67170045248129,10.198884003546,66.6666666666667,31.9692579742162,122.602373613452,NA,NA,NA,20.4708290685773,16.4585465711361,24.4831115660184,34.8632753289274,32.0136331214173,37.7129175364376
"26","027",15.5835161029666,12.9547336862866,18.2122985196467,38.7096774193548,24.8020207333653,57.5969316028278,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3939393939394,25.7334291145399,57.7212486107955,14.1643059490085,6.79233526364368,26.0486629490337
"20","089",22.6757369614512,10.8738972701416,41.7014876236231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","750",5.04439063761098,3.74404396059946,6.65040018808886,11.0864745011086,5.31639545025769,20.3884213326139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","141",14.6295422369042,12.8087475893035,16.4503368845049,20.6896551724138,11.5798429417701,34.1244398227391,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7304964539007,8.50246222718517,32.6070142588968,39.0585878818227,30.8741928918479,48.7468853534651
"34","003",0.682681652683236,0.531167074529492,0.863977324036779,4.34551259311813,3.2148341387752,5.74499810153585,0.430549115718355,0.229249271080473,0.736252100356325,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46182408004534,7.66479142460569,9.25885673548498
"37","049",20.9691130631907,18.2106978110444,23.727528315337,23.9733166562435,19.5916909781662,28.3549423343208,10.7642626480086,5.16188234244611,19.7958622626671,NA,NA,NA,NA,NA,NA,33.5392762577229,23.7343880363602,46.0352770690729,26.0715863897481,19.846899526599,33.6304469123181
"48","479",5.74712643678161,2.75597051501864,10.5691701390907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2979108075532,37.9211662599352,40.6746553551713
"13","129",31.3982380844816,27.7072813732726,35.0891947956906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7868852459016,15.7225858889588,60.2962493180911,27.9977375565611,22.7551795402136,34.0862408804173
"05","117",27.5482093663912,18.5866611766951,39.3267818134138,53.1914893617021,25.5073866815555,97.8210427766903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
