"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"45","037",85,4861,17.4861139683193,21.6218507136184,13.9672867732554
"21","123",85,2969,28.6291680700573,35.4004096729198,22.8679626152895
"54","103",85,2726,31.1812179016875,38.5560588110414,24.9064493781344
"44","009",85,38977,2.18077327654771,2.69655992813451,1.74192423749377
"48","289",85,3499,24.2926550442984,30.0382441608742,19.4041100328078
"55","021",86,11589,7.42083009750626,9.16466480127252,5.93570620797049
"39","019",86,5453,15.7711351549606,19.4772236167151,12.6148724086136
"19","181",86,13202,6.51416452052719,8.04494018951274,5.21049077747084
"47","091",86,2856,30.1120448179272,37.1881303858358,24.0857490350735
"46","083",86,14821,5.80257742392551,7.16613591403732,4.64131295082451
"36","099",86,6134,14.0202151940007,17.3148517088274,11.2143624460662
"13","183",86,4398,19.5543428831287,24.1494543842536,15.6409502601569
"13","193",86,2118,40.604343720491,50.1460341746682,32.4782338263314
"08","003",86,5391,15.9525134483398,19.701224333509,12.7599516312688
"21","031",86,2370,36.2869198312236,44.8140507940705,29.0248520017595
"37","033",86,3931,21.8773848893411,27.0183923637617,17.4990840102188
"53","003",86,4289,20.0512940079273,24.7631849806359,16.0384470142621
"48","287",86,3326,25.8568851473241,31.9330428087634,20.6821705484576
"17","203",87,8980,9.68819599109131,11.9503539624191,7.75984783249663
"39","123",87,7538,11.5415229503847,14.2364259196768,9.24428675189967
"21","169",87,2017,43.1333663857214,53.2048480825602,34.5480582725928
"27","019",87,26395,3.29607880280356,4.0657010260475,2.64002400211478
"29","181",87,2239,38.8566324251898,47.9295125424403,31.1225696899597
"54","027",87,4142,21.0043457267021,25.9087828543032,16.8236198782761
"48","149",87,5037,17.2721858248958,21.3051774037173,13.8343127924994
"26","101",87,4492,19.3677649154052,23.8900664698406,15.5127857381611
"29","039",87,2843,30.6014773126979,37.7468092094702,24.510528855371
"36","051",88,18357,4.79381162499319,5.90610999849944,3.84477710252747
"21","175",88,2155,40.8352668213457,50.3101908317653,32.7510780840356
"48","035",88,3705,23.7516869095816,29.2627425755612,19.0495474415916
"48","369",88,2488,35.3697749196142,43.5765519463241,28.3675937584794
